00: LJMP addr16
AD: MOV dierct A
AF: LCALL addr16
F7: MOV Rn #data
F9: MOV Rn #data
FB: MOV Rn #data
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FF: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FF: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
FD: DJNZ Rn rel
